Temperatura,B(segundo coef. virial) [cm³/mol]
81.79012345679013,-275.3521126760563
87.96296296296293,-224.4131455399061
100.3086419753086,-183.7441314553991
123.45679012345676,-122.53521126760566
148.1481481481481,-85.56338028169017
199.07407407407408,-46.94835680751177
250.00000000000000,-27.23004694835683
300.925925925926,-14.084507042253563
399.69135802469134,-0.9389671361502678
500.0000000000000,7.2769953051642915
600.3086419753087,13.028169014084483
802.4691358024692,17.957746478873204
1001.5432098765433,22.065727699530484
